Region,Province,City/Municipality,Type,Barangay
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Santa Filomena II
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Santa Rita
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Santo Cristo I
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Santo Cristo II
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Tambidao
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Teppang
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Tubburan
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Alay-Nangbabaan
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Alogoog
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Ar-arusip
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Aring
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Balbaldez
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Bato
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Camanga
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Canaan
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Caraitan
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Gabut Norte
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Gabut Sur
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Garreta
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,La Virgen Milagrosa
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Labut
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Lacuben
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Lubigan
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Mabusag Norte
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Mabusag Sur
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Madupayas
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Morong
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Nagrebcan
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Napu
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Pagsanahan Norte
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Pagsanahan Sur
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Paltit
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Parang
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Pasuc
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Santa Cruz Norte
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Santa Cruz Sur
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Saud
Region I (Ilocos Region),Ilocos Norte,Badoc,Municipality,Turod
Region I (Ilocos Region),Ilocos Norte,Bangui,Municipality,Abaca
Region I (Ilocos Region),Ilocos Norte,Bangui,Municipality,Bacsil
Region I (Ilocos Region),Ilocos Norte,Bangui,Municipality,Banban
Region I (Ilocos Region),Ilocos Norte,Bangui,Municipality,Baruyen
Region I (Ilocos Region),Ilocos Norte,Bangui,Municipality,Dadaor
Region I (Ilocos Region),Ilocos Norte,Bangui,Municipality,Lanao
Region I (Ilocos Region),Ilocos Norte,Bangui,Municipality,Malasin
Region I (Ilocos Region),Ilocos Norte,Bangui,Municipality,Manayon
Region I (Ilocos Region),Ilocos Norte,Bangui,Municipality,Masikil
Region I (Ilocos Region),Ilocos Norte,Bangui,Municipality,Nagbalagan
Region I (Ilocos Region),Ilocos Norte,Bangui,Municipality,Payac
Region I (Ilocos Region),Ilocos Norte,Bangui,Municipality,San Lorenzo
Region I (Ilocos Region),Ilocos Norte,Bangui,Municipality,Taguiporo
Region I (Ilocos Region),Ilocos Norte,Bangui,Municipality,Utol
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Balioeg
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Bangsar
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Barbarangay
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Binacag
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Bomitog
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Bugasi
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Caestebanan
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Caribquib
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Catagtaguen
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Crispina
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Hilario
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Imelda
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Lorenzo
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Macayepyep
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Marcos
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Nagpatayan
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Sinamar
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Tabtabagan
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Valdez
Region I (Ilocos Region),Ilocos Norte,Banna,Municipality,Valenciano
Region I (Ilocos Region),Ilocos Norte,Burgos,Municipality,Ablan Sarat
Region I (Ilocos Region),Ilocos Norte,Burgos,Municipality,Agaga
Region I (Ilocos Region),Ilocos Norte,Burgos,Municipality,Bayog
Region I (Ilocos Region),Ilocos Norte,Burgos,Municipality,Bobon
Region I (Ilocos Region),Ilocos Norte,Burgos,Municipality,Buduan
Region I (Ilocos Region),Ilocos Norte,Burgos,Municipality,Nagsurot
Region I (Ilocos Region),Ilocos Norte,Burgos,Municipality,Paayas
Region I (Ilocos Region),Ilocos Norte,Burgos,Municipality,Pagali
Region I (Ilocos Region),Ilocos Norte,Burgos,Municipality,Poblacion
Region I (Ilocos Region),Ilocos Norte,Burgos,Municipality,Saoit
Region I (Ilocos Region),Ilocos Norte,Burgos,Municipality,Tanap
Region I (Ilocos Region),Ilocos Norte,Carasi,Municipality,Angset
Region I (Ilocos Region),Ilocos Norte,Carasi,Municipality,Barbaqueso
Region I (Ilocos Region),Ilocos Norte,Carasi,Municipality,Virbira
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Ablan Pob.
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Acosta Pob.
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Aglipay
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Baay
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Baligat
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Baoa East
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Baoa West
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Barani
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Ben-agan
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Bil-loca
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Biningan
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Bungon
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Callaguip
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Camandingan
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Camguidan
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Cangrunaan
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Capacuan
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Caunayan
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Colo
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Dariwdiw
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Lacub
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Mabaleng
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Magnuang
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Maipalig
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Nagbacalan
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Naguirangan
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Palongpong
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Palpalicong
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Parangopong
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Payao
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Pimentel
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Quiling Norte
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Quiling Sur
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Quiom
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Rayuray
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Ricarte Pob.
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,San Julian
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,San Mateo
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,San Pedro
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Suabit
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Sumader
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Tabug
Region I (Ilocos Region),Ilocos Norte,City of Batac,City,Valdez Pob.
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 1, San Lorenzo"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 10, San Jose"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 11, Santa Balbina"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 12, San Isidro"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 13, Nstra. Sra. De Visitacion"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 14, Santo Tomas"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 15, San Guillermo"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 16, San Jacinto"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 17, San Francisco"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 19, Santa Marcela"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 2, Santa Joaquina"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 20, San Miguel"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 21, San Pedro"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 22, San Andres"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 23, San Matias"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 24, Nstra. Sra. De Consolacion"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 25, Santa Cayetana"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 26, San Marcelino"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 27, Nstra. Sra. De Soledad"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 28, San Bernardo"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 29, Santo Tomas"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 3, Nstra. Sra. Del Rosario"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 30-A, Suyo"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 30-B, Santa Maria"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 31, Talingaan"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 32-A, La Paz East"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 32-B, La Paz West"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,Bgy. No. 32-C La Paz East
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 33-A, La Paz Proper"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 33-B, La Paz Proper"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 34-A, Gabu Norte West"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 34-B, Gabu Norte East"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 35, Gabu Sur"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 36, Araniw"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 37, Calayab"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 38-A, Mangato East"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 38-B, Mangato West"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 39, Santa Rosa"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 4, San Guillermo"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 40, Balatong"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 41, Balacad"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 42, Apaya"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 43, Cavit"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 44, Zamboanga"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 45, Tangid"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 46, Nalbo"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 47, Bengcag"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 48-B, Cabungaan South"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 49-A, Darayday"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 49-B, Raraburan"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 5, San Pedro"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 50, Buttong"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 51-A, Nangalisan East"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 51-B, Nangalisan West"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 52-A, San Mateo"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 52-B, Lataag"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 53, Rioeng"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 54-A, Lagui-Sail"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 54-B, Camangaan"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 55-A, Barit-Pandan"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 55-B, Salet-Bulangon"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 55-C, Vira"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 56-A, Bacsil North"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 56-B, Bacsil South"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 57, Pila"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 58, Casili"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 59-A, Dibua South"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 59-B, Dibua North"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 6, San Agustin"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 60-A, Caaoacan"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 60-B, Madiladig"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 61, Cataban"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 62-A, Navotas North"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 62-B, Navotas South"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 7-A, Nstra. Sra. De Natividad"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 7-B, Nstra. Sra. De Natividad"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 8, San Vicente"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bgy. No. 9, Santa Angela"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bry. No. 18, San Quirino"
Region I (Ilocos Region),Ilocos Norte,City of Laoag,City,"Bry. No. 48-A, Cabungaan North"
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Anggapang Norte
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Anggapang Sur
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Bimmanga
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Cabuusan
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Comcomloong
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Gaang
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Lang-ayan-Baramban
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Lioes
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Maglaoi Centro
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Maglaoi Norte
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Maglaoi Sur
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Paguludan-Salindeg
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Pangil
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Pias Norte
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Pias Sur
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Poblacion I
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Poblacion II
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Salugan
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,San Simeon
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Santa Cruz
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Tapao-Tigue
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Torre
Region I (Ilocos Region),Ilocos Norte,Currimao,Municipality,Victoria
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Albano
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Bacsil
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Bagut
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Baresbes
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Barong
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Bungcag
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Cali
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Capasan
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Dancel
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Elizabeth
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Espiritu
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Foz
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Guerrero
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Lanas
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Lumbad
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Madamba
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Mandaloque
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Medina
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Parado
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Peralta
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Puruganan
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Root
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Sagpatan
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Saludares
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,San Esteban
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,San Francisco
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,San Marcelino
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,San Marcos
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Sulquiano
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Suyo
Region I (Ilocos Region),Ilocos Norte,Dingras,Municipality,Ver
Region I (Ilocos Region),Ilocos Norte,Dumalneg,Municipality,Cabaritan
Region I (Ilocos Region),Ilocos Norte,Dumalneg,Municipality,Kalaw
Region I (Ilocos Region),Ilocos Norte,Dumalneg,Municipality,Quibel
Region I (Ilocos Region),Ilocos Norte,Dumalneg,Municipality,San Isidro
Region I (Ilocos Region),Ilocos Norte,Marcos,Municipality,Cacafean
Region I (Ilocos Region),Ilocos Norte,Marcos,Municipality,Daquioag
Region I (Ilocos Region),Ilocos Norte,Marcos,Municipality,Elizabeth
Region I (Ilocos Region),Ilocos Norte,Marcos,Municipality,Escoda
Region I (Ilocos Region),Ilocos Norte,Marcos,Municipality,Ferdinand
Region I (Ilocos Region),Ilocos Norte,Marcos,Municipality,Fortuna
Region I (Ilocos Region),Ilocos Norte,Marcos,Municipality,Imelda
Region I (Ilocos Region),Ilocos Norte,Marcos,Municipality,Lydia
Region I (Ilocos Region),Ilocos Norte,Marcos,Municipality,Mabuti
Region I (Ilocos Region),Ilocos Norte,Marcos,Municipality,Pacifico
Region I (Ilocos Region),Ilocos Norte,Marcos,Municipality,Santiago
Region I (Ilocos Region),Ilocos Norte,Marcos,Municipality,Tabucbuc
Region I (Ilocos Region),Ilocos Norte,Marcos,Municipality,Valdez
Region I (Ilocos Region),Ilocos Norte,Nueva Era,Municipality,Acnam
Region I (Ilocos Region),Ilocos Norte,Nueva Era,Municipality,Barangobong
Region I (Ilocos Region),Ilocos Norte,Nueva Era,Municipality,Barikir
Region I (Ilocos Region),Ilocos Norte,Nueva Era,Municipality,Bugayong
Region I (Ilocos Region),Ilocos Norte,Nueva Era,Municipality,Cabittauran
Region I (Ilocos Region),Ilocos Norte,Nueva Era,Municipality,Caray
Region I (Ilocos Region),Ilocos Norte,Nueva Era,Municipality,Garnaden
Region I (Ilocos Region),Ilocos Norte,Nueva Era,Municipality,Naguillan
Region I (Ilocos Region),Ilocos Norte,Nueva Era,Municipality,Poblacion
Region I (Ilocos Region),Ilocos Norte,Nueva Era,Municipality,Santo Niño
Region I (Ilocos Region),Ilocos Norte,Nueva Era,Municipality,Uguis
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Aggasi
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Baduang
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Balaoi
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Burayoc
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Caparispisan
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Caunayan
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Dampig
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Ligaya
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Pancian
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Pasaleng
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Poblacion 1
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Poblacion 2
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Saguigui
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Saud
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Subec
Region I (Ilocos Region),Ilocos Norte,Pagudpud,Municipality,Tarrag
Region I (Ilocos Region),Ilocos Norte,Paoay,Municipality,Bacsil
Region I (Ilocos Region),Ilocos Norte,Paoay,Municipality,Cabagoan
Region I (Ilocos Region),Ilocos Norte,Paoay,Municipality,Cabangaran
